contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
PLTR231215P00001000,2023-09-22 18:26:41+00:00,1.0,0.02,0.0,0.01,0.0,0.0,1.0,2,2.8750028125,False,REGULAR,USD
PLTR231215P00002000,2023-09-22 18:26:41+00:00,2.0,0.01,0.0,0.01,0.0,0.0,1.0,2,2.1250046874999997,False,REGULAR,USD
PLTR231215P00004000,2023-08-07 15:02:22+00:00,4.0,0.02,0.0,0.02,0.0,0.0,,10,1.5000025,False,REGULAR,USD
PLTR231215P00005000,2023-10-23 13:35:07+00:00,5.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
PLTR231215P00006000,2023-10-30 19:49:22+00:00,6.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
PLTR231215P00007000,2023-10-30 17:08:59+00:00,7.0,0.03,0.0,0.0,0.0,0.0,91.0,0,0.500005,False,REGULAR,USD
PLTR231215P00008000,2023-10-30 14:56:54+00:00,8.0,0.06,0.0,0.0,0.0,0.0,60.0,0,0.500005,False,REGULAR,USD
PLTR231215P00009000,2023-10-30 14:52:30+00:00,9.0,0.09,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD
PLTR231215P00010000,2023-10-30 19:36:49+00:00,10.0,0.16,0.0,0.0,0.0,0.0,253.0,0,0.2500075,False,REGULAR,USD
PLTR231215P00011000,2023-10-30 19:52:54+00:00,11.0,0.29,0.0,0.0,0.0,0.0,61.0,0,0.2500075,False,REGULAR,USD
PLTR231215P00012000,2023-10-30 19:59:21+00:00,12.0,0.48,0.0,0.0,0.0,0.0,420.0,0,0.12500875,False,REGULAR,USD
PLTR231215P00013000,2023-10-30 19:59:55+00:00,13.0,0.77,0.0,0.0,0.0,0.0,226.0,0,0.12500875,False,REGULAR,USD
PLTR231215P00014000,2023-10-30 19:58:07+00:00,14.0,1.15,0.0,0.0,0.0,0.0,727.0,0,0.0312596875,False,REGULAR,USD
PLTR231215P00015000,2023-10-30 19:58:24+00:00,15.0,1.66,0.0,0.0,0.0,0.0,757.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00016000,2023-10-30 19:41:41+00:00,16.0,2.2,0.0,0.0,0.0,0.0,97.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00017000,2023-10-30 18:55:22+00:00,17.0,2.9,0.0,0.0,0.0,0.0,44.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00018000,2023-10-30 17:29:35+00:00,18.0,3.75,0.0,0.0,0.0,0.0,22.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00019000,2023-10-27 19:39:14+00:00,19.0,4.41,0.0,0.0,0.0,0.0,24.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00020000,2023-10-27 19:45:59+00:00,20.0,5.28,0.0,0.0,0.0,0.0,19.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00021000,2023-10-26 13:37:05+00:00,21.0,5.6,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00022000,2023-10-26 13:34:50+00:00,22.0,6.45,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00023000,2023-10-20 13:30:13+00:00,23.0,6.35,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00024000,2023-10-20 19:34:59+00:00,24.0,7.97,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00025000,2023-10-26 13:41:28+00:00,25.0,9.57,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00026000,2023-10-09 17:20:55+00:00,26.0,8.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00027000,2023-08-21 18:16:34+00:00,27.0,12.45,12.15,12.3,0.0,0.0,3.0,23,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00028000,2023-08-09 19:10:48+00:00,28.0,12.8,12.75,12.8,0.0,0.0,1.0,73,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00029000,2023-10-24 15:02:55+00:00,29.0,12.25,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00030000,2023-08-31 14:11:14+00:00,30.0,14.95,13.95,14.05,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00031000,2023-08-01 13:40:13+00:00,31.0,12.05,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00032000,2023-10-13 13:47:43+00:00,32.0,14.5,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00033000,2023-10-19 16:02:37+00:00,33.0,15.75,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00035000,2023-10-19 16:02:37+00:00,35.0,17.75,0.0,0.0,0.0,0.0,24.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00038000,2023-09-11 16:41:05+00:00,38.0,22.15,20.05,20.15,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00039000,2023-08-03 14:28:03+00:00,39.0,20.55,23.75,23.85,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215P00040000,2023-10-20 14:14:40+00:00,40.0,23.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
