Date,Open,High,Low,Close,Adj Close,Volume
2023-05-01,7.750000,7.820000,7.660000,7.780000,7.780000,19134200
2023-05-02,7.720000,7.910000,7.430000,7.590000,7.590000,38008000
2023-05-03,7.620000,7.680000,7.450000,7.560000,7.560000,24322400
2023-05-04,7.470000,7.520000,7.280000,7.380000,7.380000,29989300
2023-05-05,7.440000,7.550000,7.320000,7.410000,7.410000,45601300
2023-05-08,7.640000,7.855000,7.590000,7.740000,7.740000,105304000
2023-05-09,9.220000,9.690000,8.655000,9.550000,9.550000,223573300
2023-05-10,9.730000,10.300000,9.460000,9.940000,9.940000,149375000
2023-05-11,10.140000,10.159000,9.710000,9.880000,9.880000,73754100
2023-05-12,9.860000,10.010000,9.470000,9.500000,9.500000,62031700
2023-05-15,9.210000,9.600000,9.020000,9.520000,9.520000,53555500
2023-05-16,9.400000,9.630000,9.350000,9.470000,9.470000,42311900
2023-05-17,9.540000,10.285000,9.460000,10.250000,10.250000,63834500
2023-05-18,10.460000,11.810000,10.390000,11.740000,11.740000,171402300
2023-05-19,11.970000,12.410000,11.520000,11.710000,11.710000,148321300
2023-05-22,11.620000,12.105000,11.390000,11.840000,11.840000,76377100
2023-05-23,11.950000,13.420000,11.870000,12.640000,12.640000,148701800
2023-05-24,12.050000,12.430000,11.820000,12.230000,12.230000,90496900
2023-05-25,13.180000,13.220000,12.340000,12.840000,12.840000,106557800
2023-05-26,12.840000,14.195000,12.820000,13.650000,13.650000,127311200
2023-05-30,14.440000,15.005000,14.240000,14.710000,14.710000,159089300
2023-05-31,14.190000,14.790000,13.820000,14.710000,14.710000,130392200
2023-06-01,14.460000,15.220000,14.200000,14.540000,14.540000,126015100
2023-06-02,14.650000,15.030000,14.160000,14.520000,14.520000,79328400
2023-06-05,14.365000,15.700000,14.365000,15.240000,15.240000,109017800
2023-06-06,15.300000,15.580000,14.920000,15.460000,15.460000,74284300
2023-06-07,16.010000,17.160000,14.520000,14.690000,14.690000,227244100
2023-06-08,14.440000,15.590000,14.390000,15.190000,15.190000,115591600
2023-06-09,15.360000,15.980000,14.820000,15.020000,15.020000,93983400
2023-06-12,15.440000,16.030001,15.330000,15.650000,15.650000,89900400
2023-06-13,16.180000,16.270000,15.163000,16.000000,16.000000,112765900
2023-06-14,15.930000,16.190001,15.440000,15.910000,15.910000,70871900
2023-06-15,15.660000,16.790001,15.490000,16.600000,16.600000,91200900
2023-06-16,16.870001,16.910000,16.010000,16.299999,16.299999,90473900
2023-06-20,15.990000,16.889999,15.580000,15.790000,15.790000,81335000
2023-06-21,15.660000,15.755000,14.370000,14.640000,14.640000,97885000
2023-06-22,14.300000,14.440000,13.860000,14.050000,14.050000,103461000
2023-06-23,13.640000,14.140000,13.560000,14.030000,14.030000,74640600
2023-06-26,13.870000,14.420000,13.830000,13.940000,13.940000,50679900
2023-06-27,14.220000,14.760000,13.960000,14.610000,14.610000,55410500
2023-06-28,14.530000,15.430000,14.465000,15.280000,15.280000,66001000
2023-06-29,15.400000,15.570000,15.060000,15.200000,15.200000,46300900
