Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,8.590000,8.830000,8.430000,8.790000,8.790000,31376100
2022-11-01,8.990000,9.060000,8.560000,8.650000,8.650000,29800000
2022-11-02,8.700000,8.760000,8.200000,8.220000,8.220000,36042600
2022-11-03,8.070000,8.300000,7.870000,8.080000,8.080000,36419500
2022-11-04,8.190000,8.200000,7.650000,7.930000,7.930000,64338900
2022-11-07,7.780000,7.850000,6.890000,7.020000,7.020000,99332800
2022-11-08,7.080000,7.420000,6.910000,7.210000,7.210000,56353900
2022-11-09,7.120000,7.185000,6.950000,6.980000,6.980000,42517300
2022-11-10,7.460000,7.970000,7.430000,7.640000,7.640000,58579800
2022-11-11,7.480000,8.420000,7.375000,8.410000,8.410000,55324100
2022-11-14,8.180000,8.320000,7.953000,8.100000,8.100000,37402700
2022-11-15,8.450000,8.470000,8.155000,8.340000,8.340000,34454100
2022-11-16,8.180000,8.240000,8.000000,8.060000,8.060000,28436000
2022-11-17,7.830000,7.880000,7.525000,7.620000,7.620000,33746500
2022-11-18,7.760000,7.790000,7.310000,7.390000,7.390000,27245200
2022-11-21,7.310000,7.320000,7.070000,7.190000,7.190000,36605600
2022-11-22,7.180000,7.250000,6.980000,7.220000,7.220000,27327800
2022-11-23,7.250000,7.420000,7.120000,7.370000,7.370000,24182900
2022-11-25,7.320000,7.339000,7.190000,7.280000,7.280000,10824400
2022-11-28,7.230000,7.400000,7.150000,7.160000,7.160000,19438000
2022-11-29,7.200000,7.300000,7.050000,7.080000,7.080000,22150800
2022-11-30,7.140000,7.510000,7.033000,7.500000,7.500000,32745700
2022-12-01,7.510000,7.880000,7.470000,7.860000,7.860000,34424400
2022-12-02,7.615000,7.760000,7.500000,7.660000,7.660000,18794000
2022-12-05,7.620000,7.695000,7.105000,7.190000,7.190000,32158200
2022-12-06,7.190000,7.195000,6.880000,6.990000,6.990000,32868100
2022-12-07,7.080000,7.350000,7.020000,7.070000,7.070000,28351600
2022-12-08,7.100000,7.270000,6.940000,7.120000,7.120000,23107700
2022-12-09,7.060000,7.190000,7.030000,7.110000,7.110000,23367300
2022-12-12,7.110000,7.310000,7.090000,7.290000,7.290000,22672400
2022-12-13,7.730000,7.970000,7.490000,7.500000,7.500000,41033800
2022-12-14,7.500000,7.600000,7.265000,7.350000,7.350000,22653800
2022-12-15,7.170000,7.298000,7.010000,7.010000,7.010000,25417100
2022-12-16,7.020000,7.080000,6.760000,6.900000,6.900000,32655600
2022-12-19,6.800000,6.830000,6.320000,6.350000,6.350000,41511600
2022-12-20,6.290000,6.540000,6.200000,6.310000,6.310000,30215600
2022-12-21,6.240000,6.520000,6.040000,6.500000,6.500000,34408600
2022-12-22,6.370000,6.380000,6.180000,6.320000,6.320000,28066000
2022-12-23,6.270000,6.300000,6.070000,6.290000,6.290000,20419000
2022-12-27,6.150000,6.220000,5.920000,6.000000,6.000000,34573300
2022-12-28,5.980000,6.170000,5.950000,6.070000,6.070000,30096800
2022-12-29,6.100000,6.525000,6.100000,6.400000,6.400000,42694200
2022-12-30,6.190000,6.420000,6.190000,6.420000,6.420000,27830900
2023-01-03,6.580000,6.640000,6.275000,6.390000,6.390000,29969900
